Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
608	20190204_sample_19	20190204_slice_14	2019-02-04	Sample 19	mouse_GXWEL	2018-11-21	75	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	1063176	852438	203838	6	1517	low quality					1566	36.15	Matteo	35	231.1	85.1	597	1647.72		
609	20190204_sample_20	20190204_slice_15	2019-02-04	Sample 20	mouse_QWMWY	2018-11-20	76	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	3259662	885391	189596	6	2421	low quality					1553	244.55	Fede	35	647.1	236	521.5	1439.34		
610	20190204_sample_21	20190204_slice_6	2019-02-04	Sample 21	mouse_QWMWY	2018-11-20	76	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	5418786	910367	251928	6	8570	Pvalb	Pvalb Calb1_2	0.57	Pvalb Calb1_2 (57.0%), Pvalb Reln (26.6%), Pvalb Il1rapl2 (9.4%)	Pvalb Reln Tac1 (37.0%), Pvalb Tpbg (33.0%), Pvalb Reln Itm2a (30.0%)	2382	149.27	Fede	40	602	217.4	516.3	1424.988	y	
611	20190204_sample_22	20190204_slice_7	2019-02-04	Sample 22	mouse_QWMWY	2018-11-20	76	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2073091	2222758	272431	6	12492	IT	L5 IT_1	0.90	L5 IT_1 (89.9%), L5 IT_2 (4.9%), L6 IT_1 (4.3%)	L5 IT ALM Cpa6 Gpr88 (46.0%), L5 IT ALM Gkn1 Pcdh19 (33.0%), L5 IT ALM Tmem163 Arhgap25 (13.0%)	2320	300.17	Fede	10	503.8	184.4	529	1460.04	y	
612	20190204_sample_24	20190204_slice_8	2019-02-04	Sample 24	mouse_QWMWY	2018-11-20	76	M	Pvalb-Cre/wt; Ai9/wt	6	5	PV-	2062620	2314876	259134	6	5095	CT	L6 CT Cpa6	0.63	L6 CT Cpa6 (63.4%), L6 CT Grp (14.9%), L6 CT Pou3f2 (6.4%)	L6 CT ALM Cpa6 (95.0%)	1895	46.35	Fede	10	1171.2	420	614.4	1695.744		
613	20190205_sample_1	20190205_slice_1	2019-02-05	Sample 1	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1657091	1010896	109849	6	8348	Pvalb	Pvalb Egfem1	0.92	Pvalb Egfem1 (92.0%), Pvalb Kank4 (4.9%)	Sst Rxfp1 Prdm8 (53.0%), Pvalb Akr1c18 Ntf3 (25.0%), Pvalb Th Sst (21.0%)	1938	609.16	Matteo	25	867.5	318	616.6	1701.816		
614	20190205_sample_2	20190205_slice_1	2019-02-05	Sample 2	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	2484261	1312502	188992	6	9560	Sst	Sst Hpse	0.84	Sst Hpse (84.0%), Sst Calb2 (15.7%)	Sst Hpse Cbln4 (100.0%)	2137	240.99	Matteo	45	468.9	173.4	616.6	1701.816	y	
615	20190205_sample_3	20190205_slice_2	2019-02-05	Sample 3	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	352367	48464	56769	6	2003	low quality					1870	27.95	Matteo	33	711.3	260.6	509	1404.84		
616	20190205_sample_4	20190205_slice_2	2019-02-05	Sample 4	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	2180864	1394555	229547	6	10561	Sst	Sst Calb2	0.85	Sst Calb2 (84.6%), Sst Hpse (14.6%)	Sst Calb2 Pdlim5 (97.0%)	1957	216.59	Matteo	48	294.9	117.6	509	1404.84	y	
617	20190205_sample_5	20190205_slice_3	2019-02-05	Sample 5	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1996090	1316762	158817	6	11264	Sst	Sst Th_1	0.43	Sst Th_1 (43.0%), Sst C1ql3_1 (30.9%), Sst Th_2 (7.4%)	Sst Rxfp1 Prdm8 (100.0%)	2092	146.81	Matteo	35	884.5	338.3	598.6	1652.136		
618	20190205_sample_6	20190205_slice_3	2019-02-05	Sample 6	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	1726728	69910	96702	6	8651	Sst	Sst Pvalb Calb2	0.88	Sst Pvalb Calb2 (87.7%), Sst Calb2 (5.0%), Sst Pvalb Etv1 (1.7%)	Sst Mme Fam114a1 (70.0%), Sst Tac1 Htr1d (29.0%)	1526	133.74	Matteo	40	446.1	163.9	598.6	1652.136	y	
619	20190205_sample_7	20190205_slice_4	2019-02-05	Sample 7	mouse_CIQQT	2018-10-20	108	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2971275	66635	92837	6	10526	Pvalb	Pvalb Gpr149	0.85	Pvalb Gpr149 (84.9%), Pvalb Calb1_2 (6.7%), Pvalb Kank4 (5.6%)	Pvalb Gpr149 Islr (85.0%), Pvalb Reln Itm2a (13.0%)	1675	223.51	Matteo	30	692.7	255.4	449.5	1240.62	y	
620	20190211_sample_1	20190211_slice_1	2019-02-11	Sample 1	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	3095686	745257	175010	6	13672	Pvalb	Pvalb Calb1_2	0.49	Pvalb Calb1_2 (48.7%), Pvalb Kank4 (30.6%), Pvalb Reln (20.0%)	Pvalb Sema3e Kank4 (84.0%), Pvalb Reln Tac1 (13.0%)	2188	793.48	Fede	45	836	315.4	560.1	1545.876		
621	20190211_sample_2	20190211_slice_3	2019-02-11	Sample 2	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	6	6	PV-	4408457	97390	144172	6	11361	IT	L6 IT_2	0.99	L6 IT_2 (98.9%)	L6 IT VISp Penk Col27a1 (81.0%), L6 IT ALM Oprk1 (19.0%)	2220	248.13	Fede	44	1220.6	447.4	521.2	1438.512	y	
622	20190211_sample_3	20190211_slice_3	2019-02-11	Sample 3	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	6	PV+	262502	51100	39932	6	12753	Pvalb	Pvalb Kank4	0.94	Pvalb Kank4 (93.7%), Pvalb Calb1_2 (2.6%)	Pvalb Sema3e Kank4 (88.0%), Pvalb Akr1c18 Ntf3 (12.0%)	2376	326	Fede	30	1083.7	393.6	521.2	1438.512	y	
623	20190211_sample_4	20190211_slice_5	2019-02-11	Sample 4	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	6	6	PV-	136321	35215	37890	6	11966	IT	L6 IT_2	0.81	L6 IT_2 (80.6%), L5 IT_4 (9.9%), L6 IT_1 (6.9%)	L6 IT VISp Penk Col27a1 (58.0%), L6 IT VISp Penk Fst (36.0%), L6 IT ALM Oprk1 (6.0%)	2167	305	Fede	55	1164.4	423.2	547.1	1509.996		
624	20190211_sample_6	20190211_slice_7	2019-02-11	Sample 6	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	2248820	1684451	210307	6	11901	Pvalb	Pvalb Gpr149	0.98	Pvalb Gpr149 (98.1%)	Pvalb Gpr149 Islr (99.0%)	1896	326.27	Fede	60	758.1	276.8	580.1	1601.076	y	
625	20190211_sample_8	20190211_slice_2	2019-02-11	Sample 8	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1633426	1470522	157202	6	5947	Pvalb	Pvalb Reln	0.56	Pvalb Reln (55.6%), Pvalb Il1rapl2 (23.6%), Pvalb Calb1_2 (7.0%)	Pvalb Reln Itm2a (98.0%)	1526	70.97	Fede	40	867.6	327.6	541.7	1495.092	y	
626	20190211_sample_9	20190211_slice_4	2019-02-11	Sample 9	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1542616	1594781	212665	6	7802	Pvalb	Pvalb Reln	0.52	Pvalb Reln (51.9%), Pvalb Gpr149 (26.0%), Pvalb Kank4 (11.3%)	Pvalb Reln Itm2a (74.0%), Pvalb Gpr149 Islr (20.0%), Pvalb Reln Tac1 (6.0%)	1785	87.66	Fede	62	549.5	201.8	546.3	1507.788	y	
627	20190211_sample_10	20190211_slice_4	2019-02-11	Sample 10	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	6	5	PV-	2358644	1431128	233551	6	9134	CT	L6 CT Gpr139	0.71	L6 CT Gpr139 (71.1%), L6 CT Pou3f2 (15.3%), L6 CT Cpa6 (11.7%)	L6 CT VISp Gpr139 (95.0%)	1985	207.69	Fede	15	1046.7	385.5	546.3	1507.788	y	
628	20190211_sample_11	20190211_slice_6	2019-02-11	Sample 11	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	126809	38824	21699	6	5434	Pvalb	Pvalb Reln	0.19	Pvalb Reln (19.1%), Pvalb Kank4 (17.6%), Sst Chodl (11.0%)	Pvalb Reln Itm2a (39.0%), Sst Hpse Sema3c (28.0%), Sst Tac1 Tacr3 (11.0%)	1593	80.19	Fede	60	841.2	308.1	559.5	1544.22	y	
629	20190211_sample_12	20190211_slice_8	2019-02-11	Sample 12	mouse_PYVMS	2018-10-14	120	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	641045	54521	52169	6	5592	low quality					1680	142.69	Fede	48	812.1	295.6	511.8	1412.568		
630	20190212_sample_1	20190212_slice_1	2019-02-12	Sample 1	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	2428229	1189532	188858	6	12269	Sst	Sst Calb2	0.97	Sst Calb2 (96.9%)	Sst Calb2 Pdlim5 (95.0%)	1889	355.1	Fede	60	257.8	92.7	549.3	1516.068	y	
631	20190212_sample_4	20190212_slice_7	2019-02-12	Sample 4	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	5	SST+	1486446	519453	204012	6	10498	Sst	Sst Calb2	0.60	Sst Calb2 (59.6%), Sst Hpse (36.3%)	Sst Hpse Cbln4 (50.0%), Sst Calb2 Pdlim5 (47.0%)	1587	194.88	Fede	46	543	195.6	553.8	1528.488	y	
632	20190212_sample_5	20190212_slice_9	2019-02-12	Sample 5	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	1393373	765511	123607	6	8518	Sst	Sst Calb2	1.00	Sst Calb2 (99.6%)	Sst Calb2 Pdlim5 (92.0%), Sst Calb2 Necab1 (8.0%)	1703	86.22	Fede	27	356.4	127.9	588.6	1624.536	y	
633	20190212_sample_6	20190212_slice_2	2019-02-12	Sample 6	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1272252	1455812	173177	6	10340	Sst	Sst Htr1a	0.43	Sst Htr1a (42.7%), Sst Hpse (37.7%), Sst Crhr2_1 (11.7%)	Sst Crhr2 Efemp1 (85.0%), Sst Hpse Sema3c (15.0%)	1619	244.41	Fede	60	726	289.5	583.9	1611.564	y	
634	20190212_sample_7	20190212_slice_4	2019-02-12	Sample 7	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1957335	836359	130166	6	10688	Sst	Sst C1ql3_1	0.49	Sst C1ql3_1 (48.6%), Sst Th_1 (31.3%), Sst C1ql3_2 (6.1%)	Sst Rxfp1 Prdm8 (54.0%), Sst Rxfp1 Eya1 (43.0%)	1682	142.54	Fede	55	783.7	283.7	541.6	1494.816	y	
635	20190212_sample_8	20190212_slice_6	2019-02-12	Sample 8	mouse_QDLIS	2018-10-22	113	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1642786	831015	151832	6	10369	Sst	Sst Hpse	0.56	Sst Hpse (56.4%), Sst Calb2 (42.6%)	Sst Calb2 Pdlim5 (50.0%), Sst Hpse Cbln4 (50.0%)	1918	902.74	Fede	50	626.2	228.7	519.7	1434.372		
636	20190213_sample_1	20190213_slice_1	2019-02-13	Sample 1	mouse_LIGNT	2018-10-14	122	F	Pvalb-Cre/wt; Ai9/wt	5	2/3	PV+	1493538	1138932	245082	6	12628	Pvalb	Pvalb Il1rapl2	0.80	Pvalb Il1rapl2 (80.1%), Pvalb Reln (16.6%)	Pvalb Tpbg (53.0%), Pvalb Reln Itm2a (47.0%)	2040	563.33	Fede	30	365.8	137	581.3	1604.388		
637	20190213_sample_4	20190213_slice_5	2019-02-13	Sample 4	mouse_LIGNT	2018-10-14	122	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1294250	1146868	178162	6	12185	Pvalb	Pvalb Reln	0.96	Pvalb Reln (95.6%)	Pvalb Reln Itm2a (100.0%)	1753	485.48	Fede	20	706	261.4	577	1592.52		
638	20190213_sample_7	20190213_slice_4	2019-02-13	Sample 7	mouse_LIGNT	2018-10-14	122	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	5101324	747298	228627	6	14589	Pvalb	Pvalb Calb1_2	0.61	Pvalb Calb1_2 (61.3%), Pvalb Kank4 (23.4%), Pvalb Calb1_1 (10.9%)	Pvalb Sema3e Kank4 (100.0%)	2060	1236.02	Fede	40	964.2	340.1	546.3	1507.788	y	
639	20190213_sample_8	20190213_slice_6	2019-02-13	Sample 8	mouse_LIGNT	2018-10-14	122	F	Pvalb-Cre/wt; Ai9/wt	2/3	5	PV+	2054395	1912293	217138	6	12292	Pvalb	Pvalb Il1rapl2	0.89	Pvalb Il1rapl2 (88.9%), Pvalb Reln (8.9%)	Pvalb Tpbg (91.0%), Pvalb Reln Itm2a (9.0%)	1922	474.96	Fede	77	588.3	215.9	547.6	1511.376		
640	20190214_sample_1	20190214_slice_1	2019-02-14	Sample 1	mouse_SZOPU	2018-10-14	123	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1531015	78777	108657	6	13009	Pvalb	Pvalb Vipr2_2	0.72	Pvalb Vipr2_2 (72.0%), Pvalb Reln (13.6%), Pvalb Kank4 (4.9%)	Pvalb Vipr2 (100.0%)	1593	611.09	Fede	58	858	306.5	535.6	1478.256	y	
641	20190214_sample_2	20190214_slice_3	2019-02-14	Sample 2	mouse_SZOPU	2018-10-14	123	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1326400	980575	190039	6	10712	Pvalb	Pvalb Il1rapl2	0.78	Pvalb Il1rapl2 (77.6%), Pvalb Reln (19.4%)	Pvalb Tpbg (65.0%), Pvalb Reln Itm2a (32.0%)	1955	220.17	Fede	46	501.8	183.3	535.1	1476.876	y	
642	20190214_sample_3	20190214_slice_5	2019-02-14	Sample 3	mouse_SZOPU	2018-10-14	123	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	793843	518216	200931	6	14838	Pvalb	Pvalb Reln	0.99	Pvalb Reln (99.4%)	Pvalb Reln Itm2a (100.0%)	1571	821.63	Fede	50	645.6	230.8	579.9	1600.524		
643	20190214_sample_6	20190214_slice_2	2019-02-14	Sample 6	mouse_SZOPU	2018-10-14	123	F	Pvalb-Cre/wt; Ai9/wt	6	5	PV+	890770	782374	227084	6	6622	Pvalb	Pvalb Gpr149	0.85	Pvalb Gpr149 (85.4%), Pvalb Calb1_2 (11.4%)	Pvalb Gpr149 Islr (92.0%), Pvalb Reln Itm2a (5.0%)	1598	152.22	Fede	30	958.6	330.3	556.4	1535.664	y	
644	20190214_sample_9	20190214_slice_8	2019-02-14	Sample 9	mouse_SZOPU	2018-10-14	123	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	1861164	1086831	149248	6	10621	Pvalb	Pvalb Kank4	0.66	Pvalb Kank4 (65.9%), Pvalb Calb1_2 (25.3%), Pvalb Gpr149 (4.0%)	Pvalb Sema3e Kank4 (100.0%)	1948	250.11	Fede	50	1007.5	352.2	611.4	1687.464	y	
645	20190218_sample_3	20190218_slice_3	2019-02-18	Sample 3	mouse_ECLYT	2018-08-21	181	M	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	1726260	1256486	187506	6	9159	Sst	Sst Hpse	0.74	Sst Hpse (74.4%), Sst Calb2 (25.4%)	Sst Hpse Cbln4 (89.0%), Sst Calb2 Pdlim5 (11.0%)	2137	146.13	Fede	45	325.9	117.5	488.7	1348.812	y	
646	20190218_sample_4	20190218_slice_4	2019-02-18	Sample 4	mouse_ECLYT	2018-08-21	181	M	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	3502512	1588149	269145	6	10415	Sst	Sst Calb2	0.77	Sst Calb2 (76.6%), Sst Hpse (23.4%)	Sst Hpse Cbln4 (63.0%), Sst Calb2 Pdlim5 (37.0%)	2144	160.19	Fede	65	279.6	101.7	569.3	1571.268	y	
647	20190218_sample_5	20190218_slice_5	2019-02-18	Sample 5	mouse_ECLYT	2018-08-21	181	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2822669	1058890	271666	6	13921	Sst	Sst Etv1	0.80	Sst Etv1 (79.6%), Sst Myh8_1 (18.6%)	Sst Myh8 Etv1  (94.0%), Sst Nr2f2 Necab1 (6.0%)	1982	441.44	Fede	40	805.6	292.9	496.5	1370.34		
648	20190219_sample_1	20190219_slice_1	2019-02-19	Sample 1	mouse_UDUWP	2018-11-11	100	F	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	4022090	180080	222926	6	10803	Vip	Vip Htr1f	0.90	Vip Htr1f (89.7%), Vip C1ql1 (5.7%)	Vip Chat Htr1f (75.0%), Vip Pygm C1ql1 (23.0%)	1767	185.98	Fede	34	137.8	54.4	523.1	1443.756	y	
649	20190219_sample_3	20190219_slice_3	2019-02-19	Sample 3	mouse_UDUWP	2018-11-11	100	F	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	2196027	1448323	301197	6	11521	Sncg	Sncg Npy2r	0.87	Sncg Npy2r (86.6%), Vip Sncg (13.4%)	Sncg Vip Nptx2 (100.0%)	2054	182.57	Fede	26	128.6	43.9	537.8	1484.328	y	
650	20190219_sample_4	20190219_slice_4	2019-02-19	Sample 4	mouse_UDUWP	2018-11-11	100	F	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	1669146	1016022	155847	6	7906	Vip	Vip Chat_1	0.94	Vip Chat_1 (93.9%), Vip Mybpc1_3 (2.4%)	Vip Ptprt Pkp2 (99.0%)	1937	130.6	Fede	30	324	120.4	527.7	1456.452		
651	20190219_sample_7	20190219_slice_7	2019-02-19	Sample 7	mouse_UDUWP	2018-11-11	100	F	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	1106139	865855	270628	6	10774	Vip	Vip Mybpc1_1	0.73	Vip Mybpc1_1 (73.0%), Vip Chat_1 (11.1%), Vip Mybpc1_3 (9.4%)	Vip Lmo1 Myl1 (64.0%), Vip Ptprt Pkp2 (26.0%), Vip Lect1 Oxtr (10.0%)	1788	148.43	Fede	40	246.5	88.3	536.4	1480.464	y	
652	20190219_sample_8	20190219_slice_8	2019-02-19	Sample 8	mouse_UDUWP	2018-11-11	100	F	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	324182	20615	32889	6	3397	IT	L6 IT_2	0.23	L6 IT_2 (22.6%), L5 IT_4 (13.0%), L6 IT Car3 (9.4%)	L6 IT VISp Penk Col27a1 (44.0%), L6 IT VISp Col23a1 Adamts2 (19.0%), L6 IT VISp Penk Fst (18.0%)	1530	69.29	Fede	25	1279.4	461.8	534.9	1476.324	y	
653	20190221_sample_1	20190221_slice_1	2019-02-21	Sample 1	mouse_YGMUJ	2018-12-19	64	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	5	SST+	1528633	1786305	272795	6	9141	Sst	Sst Pvalb Calb2	0.99	Sst Pvalb Calb2 (98.7%)	Sst Calb2 Necab1 (48.0%), Sst Tac1 Htr1d (31.0%), Sst Tac1 Tacr3 (17.0%)	2225	175	Fede	80	559.1	215.1	472	1302.72	y	
654	20190221_sample_2	20190221_slice_3	2019-02-21	Sample 2	mouse_YGMUJ	2018-12-19	64	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1862747	92537	138219	6	9108	Sst	Sst Calb2	0.74	Sst Calb2 (74.3%), Sst Hpse (17.0%), Sst Pvalb Calb2 (8.0%)	Sst Calb2 Pdlim5 (88.0%), Sst Hpse Cbln4 (9.0%)	1992	200.98	Fede	56	411.6	154.8	478	1319.28	y	
655	20190221_sample_4	20190221_slice_5	2019-02-21	Sample 4	mouse_YGMUJ	2018-12-19	64	F	Sst-IRES-Cre/wt; Ai9/wt	2/3	2/3	SST+	2010877	79658	103026	6	9946	Sst	Sst Pvalb Calb2	0.50	Sst Pvalb Calb2 (49.6%), Pvalb Il1rapl2 (37.0%), Pvalb Calb1_1 (10.0%)	Sst Tac1 Tacr3 (98.0%)	2291	208.84	Fede	30	161	57	480.4	1325.904	y	
656	20190221_sample_10	20190221_slice_6	2019-02-21	Sample 10	mouse_YGMUJ	2018-12-19	64	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1344823	884125	147061	6	6759	Sst	Sst Etv1	0.50	Sst Etv1 (49.6%), Sst Pvalb Etv1 (27.7%), Sst Pvalb Calb2 (9.4%)	Sst Nr2f2 Necab1 (98.0%)	1533	158.83	Fede	40	528.9	191.6	513.4	1416.984	y	
657	20190221_sample_11	20190221_slice_8	2019-02-21	Sample 11	mouse_YGMUJ	2018-12-19	64	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1893726	1427982	182721	6	10328	Pvalb	Pvalb Kank4	0.38	Pvalb Kank4 (38.4%), Pvalb Reln (30.3%), Pvalb Calb1_2 (19.0%)	Pvalb Sema3e Kank4 (44.0%), Pvalb Reln Itm2a (38.0%), Pvalb Reln Tac1 (18.0%)	1582	877.48	Fede	49	483	173.5	492.6	1359.576		
658	20190222_sample_2	20190222_slice_2	2019-02-22	Sample 2	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	2815679	80501	121648	6	7045	CT	L6 CT Cpa6	0.56	L6 CT Cpa6 (56.3%), L6 CT Pou3f2 (21.7%), L6b Col6a1 (13.9%)	L6 CT ALM Cpa6 (99.0%)	1886	105.28	Fede	20	1044.4	385.2	497.8	1373.928	y	
659	20190222_sample_3	20190222_slice_3	2019-02-22	Sample 3	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	2961732	846571	273887	6	15803	IT	L6 IT_2	0.79	L6 IT_2 (78.7%), L6 IT_1 (10.4%), L5 IT_4 (7.6%)	L6 IT VISp Penk Col27a1 (98.0%)	2099	718.35	Fede	15	1044.4	390.5	480.6	1326.456	y	
660	20190222_sample_4	20190222_slice_4	2019-02-22	Sample 4	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	463038	41141	44990	6	3248	CT	L6 CT Cpa6	0.38	L6 CT Cpa6 (38.3%), L6b Col6a1 (31.6%), L6 CT Pou3f2 (7.4%)	L6 CT ALM Cpa6 (41.0%), L6b VISp Col8a1 Rprm (24.0%), L6 CT VISp Krt80 Sla (18.0%)	1510	36.84	Fede	15	1185.3	431.3	513.7	1417.812	y	
661	20190222_sample_5	20190222_slice_6	2019-02-22	Sample 5	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	6	5	VIP-	2722296	569467	158786	6	12661	CT	L6 CT Cpa6	0.96	L6 CT Cpa6 (96.3%)	L6 CT ALM Cpa6 (99.0%)	2010	524.26	Fede	15	957.9	378.5	569.9	1572.924	y	
662	20190222_sample_7	20190222_slice_5	2019-02-22	Sample 7	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	1471858	660181	170477	6	9915	Vip	Vip Mybpc1_3	0.92	Vip Mybpc1_3 (92.4%), Vip Chat_1 (3.4%)	Vip Lect1 Oxtr (90.0%), Vip Ptprt Pkp2 (4.0%), Vip Crispld2 Htr2c (2.0%)	1597	252.58	Fede	33	182.1	66.2	430.5	1188.18		
663	20190222_sample_8	20190222_slice_7	2019-02-22	Sample 8	mouse_ZGNZE	2018-11-20	94	M	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	1670085	59813	89090	6	5833	IT	L6 IT_2	0.49	L6 IT_2 (48.6%), L5 IT_4 (16.1%), L6 CT Pou3f2 (8.1%)	L6 IT VISp Penk Col27a1 (73.0%), L6 IT ALM Oprk1 (19.0%), L2/3 IT VISp Agmat (5.0%)	1504	90.08	Fede	20	962.2	352	438.4	1209.984	y	
664	20190226_sample_1	20190226_slice_1	2019-02-26	Sample 1	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	2/3	5	VIAAT+	1420660	875535	178081	7	11422	Pvalb	Pvalb Reln	0.70	Pvalb Reln (69.7%), Pvalb Calb1_2 (26.7%)	Pvalb Reln Tac1 (80.0%), Pvalb Reln Itm2a (20.0%)	1947	408.65	Fede	60	522.7	195.6	480.1	1325.076	y	
665	20190226_sample_2	20190226_slice_3	2019-02-26	Sample 2	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	5	5	VIAAT+	1441060	1773473	222200	7	12116	Lamp5	Lamp5 Slc35d3	0.97	Lamp5 Slc35d3 (96.7%)	Lamp5 Lsp1 (100.0%)	1632	427.67	Fede	55	554.7	204.4	575.4	1588.104		
666	20190226_sample_3	20190226_slice_3	2019-02-26	Sample 3	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	6	6	VIAAT-	944986	235367	44683	7	11396	CT	L6b Col6a1	0.62	L6b Col6a1 (62.3%), L6b Shisa6_1 (36.7%)	L6b VISp Col8a1 Rprm (90.0%), L6b VISp Col8a1 Rxfp1 (10.0%)	2173	523.43	Fede	20	1389.5	512.6	575.4	1588.104	y	
667	20190226_sample_5	20190226_slice_7	2019-02-26	Sample 5	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	2/3	2/3	VIAAT+	3456049	106488	138910	7	10172	IT	L2/3 IT_3	0.79	L2/3 IT_3 (79.0%), L2/3 IT_2 (14.7%), L5 ET_2 (2.1%)	L2/3 IT ALM Ptrf (96.0%)	1957	374.66	Fede	17	229	78.3	583.7	1611.012		
668	20190226_sample_6	20190226_slice_2	2019-02-26	Sample 6	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	5	5	VIAAT+	598041	374714	70385	7	9137	IT	L4/5 IT_2	0.85	L4/5 IT_2 (84.6%), L4/5 IT_1 (13.3%)	L4 IT VISp Rspo1 (97.0%)	1969	182.52	Fede	63	413.9	153.6	479.7	1323.972	y	
669	20190226_sample_7	20190226_slice_2	2019-02-26	Sample 7	mouse_CWKKR	2018-10-15	134	F	Viaat-Cre/wt; Ai9/wt	2/3	2/3	VIAAT+	1212556	1066488	124640	7	9639	Lamp5	Lamp5 Slc35d3	0.81	Lamp5 Slc35d3 (81.0%), Lamp5 Pdlim5_2 (18.7%)	Lamp5 Lsp1 (100.0%)	1940	184.1	Fede	43	288.4	107.2	479.7	1323.972		
